Kapil;Sayap;descripsi
Kapos;Kapas;descripsi
Kaput;Malam, Gelap;descripsi
Kasayesa, Toik Memela;Kain Merah;descripsi
Kasasalakon;Buat-buatlah Salah;descripsi
Kasbii, Kasubi, Kasibii;Ubi Kayu, Singkong;descripsi
Kasubiang;Pajak;descripsi
Katas;Kesan, Pesan;descripsi
Katasan;Wasiat;descripsi
Katidon, Suwunge, Ugaat;Barangkali, Mungkin Saja;descripsi
Katup;Tampal, Tempel;descripsi
Kaung Kabung, Nggaung gabung, Kabung-kabung;Kapuk;descripsi
Kauloon;Sayur;descripsi
Kaut;Jahit;descripsi
Kaukayung, Kau;Kayu;descripsi
Kaubakilakit, Tampayonit;Benalu;descripsi
Kayap;Melambai;descripsi
Kayol, Otulak, Tutulak;Berenang;descripsi
Kea, Koiya;Itu;descripsi
Keako, Pepelako;Lembah;descripsi
Keas;Kemarau;descripsi
Kedele;Seret;descripsi
Larintene;Tarik;descripsi
Kees;Ekor, Sirip;descripsi
Keete;Ikat;descripsi
Keis, Kirison, Kilison;Teriak, Pekik;descripsi
Kelebus, Kerebus, Toboi, Kundang;Tumpah, Curah, Tuang;descripsi
Kelek;Ketiak;descripsi
Kendeng;Berdiri;descripsi
Kekeledut;Ngesot;descripsi
Kekeauk, Kebuk, Pelek;Ribut, Gaduh, Ramai;descripsi
Kekodua;Mengeluarkan diri;descripsi
Keseiyon;Cinta;descripsi
Ketitisan, Lumbos, Motumos;Keringat, Peluh;descripsi
Kidoon;Sumpah;descripsi
Kibul;Kuburan;descripsi
Kila, Osoan, Sian;Kawin;descripsi
Kila-kila;Seandainya;descripsi
Kilap;Kilat, Petir;descripsi
Kilong;Tarika;descripsi
Kaan;Makan;descripsi
Kingkim;Emosi;descripsi
Kinobian, Popook;Malam Hari;descripsi
Kinolo, Kinoro;Diundang;descripsi
Kinolot, Kinorot;Dipotong, Disembelih;descripsi
Kinondok, Kindondok;Perbaiki, Perbagus;descripsi
Kinotuuli, Leang;Jemur;descripsi
Busoi, Kumosi;Cuci;descripsi
Kiis;Sunyi, Sepi;descripsi
Kiit, Liit;Marah;descripsi
Kitumbu;Pengabdi;descripsi
Kiyap;Tapis, Tamis, Nyiur;descripsi
Kiyoon, Akiyoon;Belum;descripsi
Koan;Puas;descripsi
Kowang;Burung Hantu;descripsi
Kobat;Buai;descripsi
