"Dongo, Dongol",Duduk Terdiam,-
Donggon,Menjauh Dahulu,-
Dogkang,Kebodohan,-
Donga,Ambil,-
Donga,Bodoh,-
Dongkitan,Jangkit,-
Dopi,Papan,-
Dopol,Menghalangi,-
Doso,Pantang,-
Dosumai,Kemari,-
Dowa,Pagi,-
Du,"Hingga, Terus, Lalu",-
Duampakon,Lalu Pergi,-
Duokon,Dorong,-
Dudimba,Hingga Disini,-
Dudumbala,Terus Kesana,-
Duduk,Duduk,-
Dudukan,Tempat/Waktu Duduk,-
Dudus,"Muka, Wajah",-
Dumbak,Sampai,-
Dumeas,Sembilu,-
Dun,Pabrik,-
Dungol,Berdiam,-
Dunggul,"Susul, Sampai Batas",-
Dul,Menolak dari dalam,-
Dulang,"Dulang, baki",-
"Duokan, Duwolkon","Tolak, Dorong",-
Ea ea,Pikun,-
Eaan,Segan,-
Ebese,Bagi,-
Ededengel,Menengadah,-
Ee,"Larut, Mencair",-
Eenai,Tunggu,-
eese,Perhatikan,-
Eegeegelo,"Congkak, Sombong",-
Ekeete,Persambungkan,-
Ekelebus,Tuangkan,-
Ekemelayo,Merekanlah,-
Elengele,Jelas,-
Memel,Dingin,-
Elembani,Hilangkan,-
Eketese,Perjelas,-
Eleiyo,Lewati,-
Empele,Tambalkan,-
Enayo,Jagalah,-
Endeenge,Tumpangkan,-
Engel,Ajak,-
Enenge,Ketagihan,-
Enget,Merengek,-
Esa,Waktu Sholat Isya,-
Eseenen,Hari Senin,-
Eseketio,Percepatlah,-
Eteenge,"Tenangkanlah, Tetapkanlah",-
Etetenge,Kumpulkan,-
Epepeyo,Halangilah,-
Gabus,Gabus,-
Gade,Gadai,-
Gagaai,"Gugat, Bantah",-
Galagode,Menggodai,-
Galagapan,Kebingungan,-
Galal,Bincang,-
Gamut,Kalangkabut,-
Gandang,Gendang,-
Gawu,Kalakuan,-
Gili-giling,Putar-putar,-
Gong,Gong,-
Gogang,"Gombal, Rayu",-
Gogowan,Perkebunan,-
Goloi,Campur,-
Got,"Parit, Saluran Air",-
"Gula, Mamisan",Gula,-
Guruk,Guntur,-
Ia iamo,Mana-mana,-
Ianu,Si Anu,-
Layon,Tanaman,-
Iaku,Saya,-
Iana,Dia,-
Ianila,Mereka,-
I Kami,Kami,-
I Komuyu,Kamu,-
Igama,Agama,-
Ilei,Pilih,-
Ilul,"Ludah, Liur",-
Iman,Iman,-
Impit,Melekat,-
Inak,Lemak,-
Inala,Diambil,-
Inai,Jangan,-
Inaison,Dibuang,-
Inda,Ayo,-
Indaa,Disana,-
Indee,Siapa,-
Ingat,Ingat,-
Inutubu,Dipelihara,-
Inokoot,Diikat,-
Inosulu,Diusir,-
Inum,Minnum,-
Isilam,Islam,-
Iyayong,Hewan Pelihara,-
Iyos,"Resah, Gelisah",-
Jago,Jago,-
jajian,Kejadian,-
Jambatan,Jembatan,-
Jandi,Janji,-
Jamaan,Cantik,-
Jodo,Jodoh,-
Jonga,Rusah,-
Jogug,Perdana Menteri Kerajaan Banggai,-
Jou,"Guru, Guru Mengaji",-
Kaan,Makan,-
"Kaanan, kakaanan",Makanan,-
Kaasa,Kaya Raya,-
Kaasiasi,Fakir Miskin,-
"Kabai, Kubai","Buat, Bikin",-
Kabal,Kebal,-
"Kabi, Tago","Hampir, Nyaris, Minta",-
